Date and Time,BR_MaxOccupancy,BR_OpenWindows,BR_OpenDoor,BR_OpenCurtains,BR_HeatingOn,BR_Hoovering,BR_Mopping,Dehumidifier
06/02/2019 06:00,1,0,0,0,0,0,,0
06/02/2019 07:00,1,0,0,0,0,0,,0
06/02/2019 08:00,1,0,0,1,0,0,,0
06/02/2019 09:00,0,0,0,1,0,0,,0
06/02/2019 10:00,0,0,0,1,0,0,,0
06/02/2019 11:00,0,0,0,1,0,0,,0
06/02/2019 12:00,0,0,0,1,0,0,,0
06/02/2019 13:00,0,1,1,1,0,0,,0
06/02/2019 14:00,0,1,1,1,0,0,,0
06/02/2019 15:00,0,1,1,1,0,0,,0
06/02/2019 16:00,0,0,1,1,0,0,,0
06/02/2019 17:00,0,0,1,1,0,0,,0
06/02/2019 18:00,0,0,1,1,1,0,,0
06/02/2019 19:00,0,0,1,0,1,0,,0
06/02/2019 20:00,0,0,1,0,1,0,,0
06/02/2019 21:00,0,0,1,0,1,0,,0
06/02/2019 22:00,0,0,1,0,1,0,,0
06/02/2019 23:00,1,0,0,0,0,0,,0
07/02/2019 00:00,1,0,0,0,0,0,,0
07/02/2019 01:00,1,0,0,0,0,0,,0
07/02/2019 02:00,1,0,0,0,0,0,,0
07/02/2019 03:00,1,0,0,0,0,0,,0
07/02/2019 04:00,1,0,0,0,0,0,,0
07/02/2019 05:00,1,0,0,0,0,0,,0
07/02/2019 06:00,1,0,0,0,0,0,,0
07/02/2019 07:00,1,0,0,0,0,0,,0
07/02/2019 08:00,1,0,0,0,1,0,,0
07/02/2019 09:00,1,1,0,1,1,0,,0
07/02/2019 10:00,0,1,1,1,1,0,,0
07/02/2019 11:00,0,1,1,1,0,0,,0
07/02/2019 12:00,0,0,1,1,0,0,,1
07/02/2019 13:00,0,0,1,1,0,0,,1
07/02/2019 14:00,0,0,1,1,0,0,,1
07/02/2019 15:00,0,0,1,1,0,0,,0
07/02/2019 16:00,0,0,1,1,0,0,,0
07/02/2019 17:00,1,0,0,1,1,1,,0
07/02/2019 18:00,1,0,0,1,1,0,,0
07/02/2019 19:00,1,0,0,0,1,1,,0
07/02/2019 20:00,0,0,0,0,1,0,,0
07/02/2019 21:00,0,0,0,0,1,0,,0
07/02/2019 22:00,0,0,0,0,1,0,,0
07/02/2019 23:00,1,0,0,0,0,0,,0
08/02/2019 00:00,1,0,0,0,0,0,,0
08/02/2019 01:00,1,0,0,0,0,0,,0
08/02/2019 02:00,1,0,0,0,0,0,,0
08/02/2019 03:00,1,0,0,0,0,0,,0
08/02/2019 04:00,1,0,0,0,0,0,,0
08/02/2019 05:00,1,0,0,0,0,0,,0
08/02/2019 06:00,1,0,0,0,0,0,,0
08/02/2019 07:00,1,0,0,0,0,0,,0
08/02/2019 08:00,1,0,0,0,0,0,,0
08/02/2019 09:00,1,0,0,0,0,0,,0
08/02/2019 10:00,1,1,0,0,0,0,,0
08/02/2019 11:00,0,1,0,1,0,0,,0
08/02/2019 12:00,0,1,0,1,0,0,,0
08/02/2019 13:00,0,1,0,1,0,0,,0
08/02/2019 14:00,0,1,0,1,0,0,,0
08/02/2019 15:00,0,0,0,1,0,0,,0
08/02/2019 16:00,1,1,0,1,0,1,,0
08/02/2019 17:00,1,1,0,1,0,0,,0
08/02/2019 18:00,0,0,0,0,0,0,,0
08/02/2019 19:00,0,0,0,0,0,0,,0
08/02/2019 20:00,0,0,0,0,0,0,,0
08/02/2019 21:00,0,0,0,0,0,0,,0
08/02/2019 22:00,0,0,0,0,0,0,,0
08/02/2019 23:00,1,0,0,0,0,0,,0
09/02/2019 00:00,1,0,0,0,0,0,,0
09/02/2019 01:00,1,0,0,0,0,0,,0
09/02/2019 02:00,1,0,0,0,0,0,,0
09/02/2019 03:00,1,0,0,0,0,0,,0
09/02/2019 04:00,1,0,0,0,0,0,,0
09/02/2019 05:00,1,0,0,0,0,0,,0
09/02/2019 06:00,1,0,0,0,0,0,,0
09/02/2019 07:00,1,0,0,0,0,0,,0
09/02/2019 08:00,1,0,0,0,0,0,,0
09/02/2019 09:00,1,0,0,0,0,0,,0
09/02/2019 10:00,1,0,0,0,0,0,,0
09/02/2019 11:00,1,1,1,1,0,0,,0
09/02/2019 12:00,0,1,1,1,0,0,,0
09/02/2019 13:00,0,0,1,1,0,0,,0
09/02/2019 14:00,0,0,1,1,0,0,,0
09/02/2019 15:00,0,0,1,1,0,0,,0
09/02/2019 16:00,0,0,1,1,0,0,,0
09/02/2019 17:00,0,0,1,1,0,0,,0
09/02/2019 18:00,0,0,1,1,0,0,,0
09/02/2019 19:00,0,0,1,1,0,0,,0
09/02/2019 20:00,0,0,1,1,0,0,,0
09/02/2019 21:00,0,0,1,0,0,0,,0
09/02/2019 22:00,0,0,1,0,0,0,,0
09/02/2019 23:00,1,0,1,0,0,0,,0
12/02/2019 07:00,2,0,,0,1,,,
12/02/2019 08:00,1,0,,1,0,,,
12/02/2019 09:00,0,0,,1,0,,,
12/02/2019 10:00,0,0,,1,0,,,
12/02/2019 11:00,0,0,,1,0,,,
12/02/2019 12:00,0,0,,1,0,,,
12/02/2019 13:00,0,0,,1,0,,,
12/02/2019 14:00,0,0,,1,0,,,
12/02/2019 15:00,0,0,,1,0,,,
12/02/2019 16:00,0,0,,1,0,,,
12/02/2019 17:00,0,0,,1,0,,,
12/02/2019 18:00,0,0,,1,0,,,
12/02/2019 19:00,0,0,,1,0,,,
12/02/2019 20:00,0,0,,0,0,,,
12/02/2019 21:00,0,0,,0,0,,,
12/02/2019 22:00,0,0,,0,1,,,
12/02/2019 23:00,2,0,,0,0,,,
13/02/2019 00:00,2,0,,0,0,,,
13/02/2019 01:00,2,0,,0,0,,,
13/02/2019 02:00,2,0,,0,0,,,
13/02/2019 03:00,2,0,,0,0,,,
13/02/2019 04:00,2,0,,0,0,,,
13/02/2019 05:00,2,0,,0,0,,,
13/02/2019 06:00,2,0,,0,0,,,
13/02/2019 07:00,2,0,,0,1,,,
13/02/2019 08:00,1,0,,1,0,,,
13/02/2019 09:00,0,0,,1,0,,,
13/02/2019 10:00,0,0,,1,0,,,
13/02/2019 11:00,0,0,,1,0,,,
13/02/2019 12:00,0,0,,1,0,,,
13/02/2019 13:00,0,0,,1,0,,,
13/02/2019 14:00,0,0,,1,0,,,
13/02/2019 15:00,0,0,,1,0,,,
13/02/2019 16:00,0,0,,1,0,,,
13/02/2019 17:00,0,0,,1,0,,,
13/02/2019 18:00,0,0,,1,0,,,
13/02/2019 19:00,0,0,,1,0,,,
13/02/2019 20:00,0,0,,0,0,,,
13/02/2019 21:00,0,0,,0,0,,,
13/02/2019 22:00,0,0,,0,1,,,
13/02/2019 23:00,1,0,,0,0,,,
14/02/2019 00:00,1,0,,0,0,,,
14/02/2019 01:00,1,0,,0,0,,,
14/02/2019 02:00,1,0,,0,0,,,
14/02/2019 03:00,1,0,,0,0,,,
14/02/2019 04:00,1,0,,0,0,,,
14/02/2019 05:00,1,0,,0,0,,,
14/02/2019 06:00,1,0,,0,0,,,
14/02/2019 07:00,1,0,,0,1,,,
14/02/2019 08:00,1,0,,1,0,,,
14/02/2019 09:00,0,0,,1,0,,,
14/02/2019 10:00,0,0,,1,0,,,
14/02/2019 11:00,0,0,,1,0,,,
14/02/2019 12:00,0,0,,1,0,,,
14/02/2019 13:00,0,0,,1,0,,,
14/02/2019 14:00,0,0,,1,0,,,
14/02/2019 15:00,0,0,,1,0,,,
14/02/2019 16:00,0,0,,1,0,,,
14/02/2019 17:00,0,0,,1,0,,,
14/02/2019 18:00,0,0,,1,0,,,
14/02/2019 19:00,0,0,,1,0,,,
14/02/2019 20:00,0,0,,0,0,,,
14/02/2019 21:00,0,0,,0,0,,,
14/02/2019 22:00,0,0,,0,1,,,
14/02/2019 23:00,2,0,,0,0,,,
15/02/2019 00:00,2,0,,0,0,,,
15/02/2019 01:00,2,0,,0,0,,,
15/02/2019 02:00,2,0,,0,0,,,
15/02/2019 03:00,2,0,,0,0,,,
15/02/2019 04:00,2,0,,0,0,,,
15/02/2019 05:00,2,0,,0,0,,,
15/02/2019 06:00,2,0,,0,0,,,
15/02/2019 07:00,2,0,,0,1,,,
15/02/2019 08:00,1,0,,1,0,,,
15/02/2019 09:00,0,0,,1,0,,,
15/02/2019 10:00,0,0,,1,0,,,
15/02/2019 11:00,0,0,,1,0,,,
15/02/2019 12:00,0,0,,1,0,,,
15/02/2019 13:00,0,0,,1,0,,,
15/02/2019 14:00,0,0,,1,0,,,
15/02/2019 15:00,0,0,,1,0,,,
15/02/2019 16:00,0,0,,1,0,,,
15/02/2019 17:00,0,0,,1,0,,,
15/02/2019 18:00,0,0,,1,0,,,
15/02/2019 19:00,0,0,,1,0,,,
15/02/2019 20:00,0,0,,0,0,,,
15/02/2019 21:00,0,0,,0,0,,,
15/02/2019 22:00,0,0,,0,1,,,
15/02/2019 23:00,2,0,,0,0,,,
16/02/2019 00:00,2,0,,0,0,,,
16/02/2019 01:00,2,0,,0,0,,,
16/02/2019 02:00,2,0,,0,0,,,
16/02/2019 03:00,2,0,,0,0,,,
16/02/2019 04:00,2,0,,0,0,,,
16/02/2019 05:00,2,0,,0,0,,,
16/02/2019 06:00,2,0,,0,0,,,
16/02/2019 07:00,2,0,,0,1,,,
16/02/2019 08:00,2,0,,1,0,,,
16/02/2019 09:00,2,1,,1,0,,,
16/02/2019 10:00,0,1,,1,0,,,
16/02/2019 11:00,0,1,,1,0,,,
16/02/2019 12:00,0,1,,1,0,,,
16/02/2019 13:00,0,1,,1,0,,,
16/02/2019 14:00,0,0,,1,0,,,
16/02/2019 15:00,0,0,,1,0,,,
16/02/2019 16:00,0,0,,1,0,,,
16/02/2019 17:00,0,0,,1,0,,,
16/02/2019 18:00,0,0,,1,0,,,
16/02/2019 19:00,0,0,,1,0,,,
16/02/2019 20:00,0,0,,1,0,,,
16/02/2019 21:00,0,0,,1,0,,,
16/02/2019 22:00,0,0,,1,1,,,
16/02/2019 23:00,2,0,,1,0,,,
17/02/2019 00:00,2,0,,1,0,,,
17/02/2019 01:00,2,0,,1,0,,,
17/02/2019 02:00,2,0,,1,0,,,
17/02/2019 03:00,2,0,,1,0,,,
17/02/2019 04:00,2,0,,1,0,,,
17/02/2019 05:00,2,0,,1,0,,,
17/02/2019 06:00,2,0,,1,0,,,
17/02/2019 07:00,2,0,,1,1,,,
17/02/2019 08:00,2,0,,1,0,,,
17/02/2019 09:00,0,0,,1,0,,,
17/02/2019 10:00,0,0,,1,0,,,
17/02/2019 11:00,0,0,,1,0,,,
17/02/2019 12:00,0,0,,1,0,,,
17/02/2019 13:00,0,0,,1,0,,,
17/02/2019 14:00,0,0,,1,0,,,
17/02/2019 15:00,0,0,,1,0,,,
17/02/2019 16:00,0,0,,1,0,,,
17/02/2019 17:00,0,0,,1,0,,,
17/02/2019 18:00,0,0,,1,0,,,
17/02/2019 19:00,0,0,,1,0,,,
17/02/2019 20:00,0,0,,1,0,,,
17/02/2019 21:00,0,0,,1,0,,,
17/02/2019 22:00,0,0,,1,0,,,
19/02/2019 13:00,0,0,1,0,0,0,0,
19/02/2019 14:00,0,0,1,0,0,0,0,
19/02/2019 15:00,0,0,1,0,0,0,0,
19/02/2019 16:00,0,0,1,0,0,0,0,
19/02/2019 17:00,0,0,1,0,0,0,0,
19/02/2019 18:00,0,0,1,0,0,0,0,
19/02/2019 19:00,0,0,1,0,1,0,0,
19/02/2019 20:00,2,0,1,0,1,0,0,
19/02/2019 21:00,0,0,1,0,1,0,0,
19/02/2019 22:00,0,0,1,0,1,0,0,
19/02/2019 23:00,0,0,1,0,1,0,0,
20/02/2019 00:00,0,0,1,0,1,0,0,
20/02/2019 01:00,2,0,0,0,1,0,0,
20/02/2019 02:00,2,0,0,0,1,0,0,
20/02/2019 03:00,2,0,0,0,0,0,0,
20/02/2019 04:00,2,0,0,0,0,0,0,
20/02/2019 05:00,2,0,0,0,0,0,0,
20/02/2019 06:00,2,0,0,0,1,0,0,
20/02/2019 07:00,2,0,1,0,1,0,0,
20/02/2019 08:00,1,0,1,0,1,0,0,
20/02/2019 09:00,0,0,1,0,0,0,0,
20/02/2019 10:00,0,0,1,0,0,0,0,
20/02/2019 11:00,0,0,1,0,0,0,0,
20/02/2019 12:00,0,0,1,0,0,0,0,
20/02/2019 13:00,0,0,1,0,0,0,0,
20/02/2019 14:00,0,0,1,0,0,0,0,
20/02/2019 15:00,0,0,1,0,0,0,0,
20/02/2019 16:00,0,0,1,0,0,0,0,
20/02/2019 17:00,0,0,1,0,0,0,0,
20/02/2019 18:00,0,0,1,0,0,0,0,
20/02/2019 19:00,0,0,1,0,1,0,0,
20/02/2019 20:00,0,0,1,0,1,0,0,
20/02/2019 21:00,0,0,1,0,1,0,0,
20/02/2019 22:00,0,0,1,0,1,0,0,
20/02/2019 23:00,0,0,1,0,1,0,0,
21/02/2019 00:00,0,0,1,0,1,0,0,
21/02/2019 01:00,2,0,0,0,1,0,0,
21/02/2019 02:00,2,0,0,0,1,0,0,
21/02/2019 03:00,2,0,0,0,0,0,0,
21/02/2019 04:00,2,0,0,0,0,0,0,
21/02/2019 05:00,2,0,0,0,0,0,0,
21/02/2019 06:00,2,0,0,0,1,0,0,
21/02/2019 07:00,2,0,1,0,1,0,0,
21/02/2019 08:00,1,0,1,0,1,0,0,
21/02/2019 09:00,0,0,1,0,0,0,0,
21/02/2019 10:00,0,0,1,0,0,0,0,
21/02/2019 11:00,0,0,1,0,0,0,0,
21/02/2019 12:00,0,0,1,0,0,0,0,
21/02/2019 13:00,0,0,1,0,0,0,0,
21/02/2019 14:00,0,0,1,1,0,0,0,
21/02/2019 15:00,0,0,1,1,0,0,0,
21/02/2019 16:00,0,0,1,1,0,0,0,
21/02/2019 17:00,0,0,1,1,0,0,0,
21/02/2019 18:00,0,0,1,1,0,0,0,
21/02/2019 19:00,0,0,1,1,1,0,0,
21/02/2019 20:00,0,0,1,1,1,0,0,
21/02/2019 21:00,0,0,1,1,1,0,0,
21/02/2019 22:00,0,0,1,1,1,0,0,
21/02/2019 23:00,0,0,1,1,1,0,0,
22/02/2019 00:00,0,0,1,0,1,0,0,
22/02/2019 01:00,0,0,1,0,1,0,0,
22/02/2019 02:00,2,0,0,0,1,0,0,
22/02/2019 03:00,2,0,0,0,0,0,0,
22/02/2019 04:00,2,0,0,0,0,0,0,
22/02/2019 05:00,2,0,0,0,0,0,0,
22/02/2019 06:00,2,0,0,0,1,0,0,
22/02/2019 07:00,2,0,0,0,1,0,0,
22/02/2019 08:00,2,0,0,0,1,0,0,
22/02/2019 09:00,2,0,0,0,0,0,0,
22/02/2019 10:00,2,0,1,0,0,0,0,
22/02/2019 11:00,1,0,1,0,0,0,0,
22/02/2019 12:00,1,0,1,1,0,0,0,
22/02/2019 13:00,0,0,1,1,0,0,0,
22/02/2019 14:00,0,0,1,1,0,0,0,
22/02/2019 15:00,0,0,1,1,0,0,0,
22/02/2019 16:00,0,0,1,1,0,0,0,
22/02/2019 17:00,0,0,1,1,0,0,0,
22/02/2019 18:00,0,0,0,1,0,0,0,
22/02/2019 19:00,0,0,0,1,1,0,0,
22/02/2019 20:00,0,0,1,1,1,0,0,
22/02/2019 21:00,1,0,1,0,1,0,0,
22/02/2019 22:00,0,0,1,0,1,0,0,
22/02/2019 23:00,0,0,1,0,1,0,0,
23/02/2019 00:00,0,0,1,0,1,0,0,
23/02/2019 01:00,0,0,1,0,1,0,0,
23/02/2019 02:00,1,0,1,0,1,0,0,
23/02/2019 03:00,1,0,0,0,0,0,0,
23/02/2019 04:00,1,0,0,0,0,0,0,
23/02/2019 05:00,1,0,0,0,0,0,0,
23/02/2019 06:00,1,0,0,0,1,0,0,
23/02/2019 07:00,1,0,0,0,1,0,0,
23/02/2019 08:00,1,0,0,0,1,0,0,
23/02/2019 09:00,1,0,0,0,0,0,0,
23/02/2019 10:00,1,0,0,0,0,0,0,
23/02/2019 11:00,1,0,0,0,0,0,0,
23/02/2019 12:00,1,0,0,0,0,0,0,
23/02/2019 13:00,0,0,1,0,0,0,0,
23/02/2019 14:00,0,0,1,0,0,0,0,
23/02/2019 15:00,1,0,1,0,0,1,0,
23/02/2019 16:00,0,0,1,0,0,0,0,
23/02/2019 17:00,0,0,1,0,0,0,0,
23/02/2019 18:00,1,1,0,1,0,0,1,
23/02/2019 19:00,0,0,0,0,1,0,0,
23/02/2019 20:00,2,0,1,0,1,0,0,
23/02/2019 21:00,1,0,1,0,1,0,0,
23/02/2019 22:00,1,0,1,0,1,0,0,
23/02/2019 23:00,1,0,1,0,1,0,0,
24/02/2019 00:00,1,0,1,0,1,0,0,
24/02/2019 01:00,2,0,0,0,1,0,0,
24/02/2019 02:00,2,0,0,0,1,0,0,
24/02/2019 03:00,2,0,0,0,0,0,0,
24/02/2019 04:00,2,0,0,0,0,0,0,
24/02/2019 05:00,2,0,0,0,0,0,0,
24/02/2019 06:00,2,0,0,0,1,0,0,
24/02/2019 07:00,2,0,0,0,1,0,0,
24/02/2019 08:00,2,0,0,0,1,0,0,
24/02/2019 09:00,2,0,0,0,0,0,0,
24/02/2019 10:00,2,0,0,0,0,0,0,
24/02/2019 11:00,2,0,0,0,0,0,0,
24/02/2019 12:00,2,0,0,0,0,0,0,
24/02/2019 13:00,2,0,0,0,0,0,0,
24/02/2019 14:00,2,0,1,0,0,0,0,
24/02/2019 15:00,2,0,1,0,0,0,0,
24/02/2019 16:00,0,0,1,0,0,0,0,
24/02/2019 17:00,0,0,1,0,0,0,0,
24/02/2019 18:00,1,0,0,0,0,0,0,
24/02/2019 19:00,2,0,0,0,1,0,0,
24/02/2019 20:00,1,0,0,0,1,0,0,
24/02/2019 21:00,0,0,1,0,1,0,0,
24/02/2019 22:00,0,0,1,0,1,0,0,
24/02/2019 23:00,0,0,1,0,1,0,0,
25/02/2019 00:00,0,0,1,0,1,0,0,
25/02/2019 01:00,2,0,0,0,1,0,0,
25/02/2019 02:00,2,0,0,0,1,0,0,
25/02/2019 03:00,2,0,0,0,0,0,0,
25/02/2019 04:00,2,0,0,0,0,0,0,
25/02/2019 05:00,2,0,0,0,0,0,0,
25/02/2019 06:00,2,0,0,0,0,0,0,
25/02/2019 07:00,2,0,0,0,0,0,0,
